filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
random_2,0,1,0,0,0,0,0,0,0,0,0,0
random_2,0,1,1,0,1,0,0,0,0,0,0,0
random_2,0,1,2,0,0,0,0,0,0,0,0,0
random_2,0,1,3,0,1,0,0,0,0,0,0,0
random_2,0,1,4,0,0,0,0,0,0,0,0,0
random_2,0,1,5,3,0,0,0,0,0,0,0,0
random_2,0,1,6,1,0,0,3,0,0,0,0,0
random_2,0,1,7,0,1,0,0,1,0,0,0,0
random_2,0,1,8,1,0,1,0,0,0,0,0,0
random_2,0,1,9,0,0,0,0,1,0,0,0,0
random_2,0,1,10,1,0,1,0,0,0,0,0,0
random_2,0,1,11,0,0,0,0,1,0,0,0,0
random_2,0,2,0,2,0,0,0,0,1,0,0,0
random_2,0,2,1,2,1,0,0,0,0,0,0,0
random_2,0,2,2,2,0,0,0,0,1,0,0,0
random_2,0,2,3,2,1,0,0,0,0,0,0,0
random_2,0,2,4,0,0,0,0,0,0,0,0,0
random_2,0,2,5,6,1,2,0,0,0,0,0,0
random_2,0,2,6,2,3,1,3,0,0,0,0,0
random_2,0,2,7,0,1,0,0,1,0,0,0,0
random_2,0,2,8,1,1,1,0,0,0,0,0,0
random_2,0,2,9,3,1,0,0,1,0,0,0,0
random_2,0,2,10,1,1,1,0,0,0,0,0,0
random_2,0,2,11,3,1,0,0,1,0,0,0,0
random_2,0,3,0,6,0,0,1,0,2,0,0,0
random_2,0,3,1,2,3,1,1,0,0,0,0,0
random_2,0,3,2,6,0,0,1,0,2,0,0,0
random_2,0,3,3,2,3,1,1,0,0,0,0,0
random_2,0,3,4,6,1,3,0,2,0,0,0,0
random_2,0,3,5,12,3,3,0,0,2,1,0,0
random_2,0,3,6,4,3,1,4,1,0,0,0,0
random_2,0,3,7,7,4,0,0,1,0,0,0,0
random_2,0,3,8,4,3,1,0,0,1,0,0,0
random_2,0,3,9,7,2,0,0,1,0,0,0,1
random_2,0,3,10,4,3,1,0,0,1,0,0,0
random_2,0,3,11,7,2,0,0,1,0,0,0,1
random_2,0,4,0,7,3,1,1,0,2,0,0,0
random_2,0,4,1,6,3,1,2,0,0,0,0,0
random_2,0,4,2,7,3,1,1,0,2,0,0,0
random_2,0,4,3,6,3,1,2,0,0,0,0,0
random_2,0,4,4,9,1,3,1,2,1,0,0,0
random_2,0,4,5,18,4,3,0,1,2,1,0,0
random_2,0,4,6,8,4,1,5,3,0,1,0,0
random_2,0,4,7,11,5,1,1,1,0,0,0,0
random_2,0,4,8,10,5,1,1,1,1,0,1,0
random_2,0,4,9,11,6,0,1,1,1,0,0,1
random_2,0,4,10,10,5,1,1,1,1,0,1,0
random_2,0,4,11,11,6,0,1,1,1,0,0,1
random_2,0,5,0,11,7,2,2,0,2,0,0,0
random_2,0,5,1,14,5,1,3,1,0,0,0,0
random_2,0,5,2,11,7,2,2,0,2,0,0,0
random_2,0,5,3,14,5,1,3,1,0,0,0,0
random_2,0,5,4,13,1,3,4,2,3,0,0,0
random_2,0,5,5,22,5,5,2,2,3,1,1,1
random_2,0,5,6,11,5,1,6,3,0,2,0,1
random_2,0,5,7,19,9,2,2,2,0,0,0,0
random_2,0,5,8,14,7,2,1,2,1,0,1,0
random_2,0,5,9,16,8,0,2,2,1,0,0,2
random_2,0,5,10,14,7,2,1,2,1,0,1,0
random_2,0,5,11,16,8,0,2,2,1,0,0,2
random_2,100,1,0,0,0,0,0,0,0,0,0,0
random_2,100,1,1,1,0,0,0,0,0,0,0,0
random_2,100,1,2,1,0,0,0,0,0,0,0,0
random_2,100,1,3,0,0,0,0,0,0,0,0,0
random_2,100,1,4,2,0,0,4,0,0,0,0,0
random_2,100,1,5,4,0,0,0,0,0,0,0,0
random_2,100,1,6,0,0,0,0,0,0,0,0,0
random_2,100,1,7,1,0,0,0,0,0,0,0,0
random_2,100,1,8,1,0,0,0,0,0,0,0,0
random_2,100,1,9,3,0,0,0,0,0,0,0,0
